,city,complaint_type,location_type
6751,JAMAICA,Rodent,3+ Family Apt. Building
6753,STATEN ISLAND,Illegal Parking,Street/Sidewalk
6754,EAST ELMHURST,For Hire Vehicle Complaint,Street
6755,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
6756,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
6757,NEW YORK,Broken Muni Meter,Street
6758,South Ozone Park,Sanitation Condition,Sidewalk
6759,SOUTH RICHMOND HILL,Derelict Vehicle,Street/Sidewalk
6761,NEW YORK,Sanitation Condition,Sidewalk
6762,Flushing,Missed Collection (All Materials),Sidewalk
6763,Saint Albans,Dirty Conditions,Sidewalk
6764,STATEN ISLAND,Broken Muni Meter,Lot
6765,Flushing,Missed Collection (All Materials),Sidewalk
6766,JACKSON HEIGHTS,Illegal Parking,Street/Sidewalk
6767,HOLLIS,Illegal Parking,Street/Sidewalk
6768,NEW YORK,Missed Collection (All Materials),Sidewalk
6770,BROOKLYN,Dirty Conditions,Sidewalk
6771,CORONA,Blocked Driveway,Street/Sidewalk
6772,JAMAICA,Blocked Driveway,Street/Sidewalk
6773,BRONX,Missed Collection (All Materials),Sidewalk
6774,South Richmond Hill,Sanitation Condition,Street
6775,FLUSHING,Street Condition,Street
6779,NEW YORK,Homeless Encampment,Street/Sidewalk
6782,BRONX,Maintenance or Facility,Park
6783,BROOKLYN,Missed Collection (All Materials),Sidewalk
6785,Saint Albans,Sanitation Condition,Street
6786,BRONX,Noise - Commercial,Store/Commercial
6787,NEW YORK,Derelict Vehicle,Street/Sidewalk
6788,NEW YORK,Damaged Tree,Park
6790,BRONX,Vacant Lot,Lot
6791,NEW YORK,Dirty Conditions,Sidewalk
6793,BROOKLYN,Animal in a Park,Beach
6794,BRONX,Blocked Driveway,Street/Sidewalk
6795,BRONX,Sanitation Condition,Street
6796,BRONX,PLUMBING,RESIDENTIAL BUILDING
6797,BRONX,Illegal Parking,Street/Sidewalk
6799,BRONX,Blocked Driveway,Street/Sidewalk
6800,ARVERNE,Illegal Parking,Street/Sidewalk
6804,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
6806,BROOKLYN,Missed Collection (All Materials),Sidewalk
6808,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
6810,BRONX,Noise - Commercial,Store/Commercial
6811,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
6812,WOODSIDE,Blocked Driveway,Street/Sidewalk
6813,STATEN ISLAND,Other Enforcement,Sidewalk
6814,NEW YORK,Animal Abuse,Parking Lot
6815,STATEN ISLAND,Missed Collection (All Materials),Sidewalk
6816,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
6817,BROOKLYN,Illegal Parking,Street/Sidewalk
6819,STATEN ISLAND,Missed Collection (All Materials),Sidewalk
6820,KEW GARDENS,Blocked Driveway,Street/Sidewalk
6821,South Ozone Park,Missed Collection (All Materials),Sidewalk
6822,BROOKLYN,Maintenance or Facility,Park
6823,BRONX,Blocked Driveway,Street/Sidewalk
6824,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
6825,NEW YORK,Noise - Commercial,Store/Commercial
6828,STATEN ISLAND,Dirty Conditions,Lot
6830,BROOKLYN,Rodent,1-2 Family Dwelling
6831,FLUSHING,Derelict Vehicle,Street/Sidewalk
6832,NEW YORK,Dirty Conditions,Sidewalk
6833,WOODSIDE,Illegal Parking,Street/Sidewalk
6834,MIDDLE VILLAGE,Dead Tree,Street
6835,BROOKLYN,Noise - Park,Park/Playground
6836,BRONX,Blocked Driveway,Street/Sidewalk
6837,STATEN ISLAND,Missed Collection (All Materials),Sidewalk
6838,BROOKLYN,Missed Collection (All Materials),Sidewalk
6839,BROOKLYN,PLUMBING,RESIDENTIAL BUILDING
6840,BROOKLYN,APPLIANCE,RESIDENTIAL BUILDING
6841,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
6842,OAKLAND GARDENS,Illegal Parking,Street/Sidewalk
6847,Sunnyside,Collection Truck Noise,Sidewalk
6848,JAMAICA,Blocked Driveway,Street/Sidewalk
6850,Elmhurst,HEAT/HOT WATER,RESIDENTIAL BUILDING
6851,BROOKLYN,Dirty Conditions,Sidewalk
6854,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
6855,BROOKLYN,Broken Muni Meter,Street
6856,BROOKLYN,Missed Collection (All Materials),Sidewalk
6857,BROOKLYN,Missed Collection (All Materials),Sidewalk
6858,FLUSHING,Street Condition,Street
6859,East Elmhurst,HEAT/HOT WATER,RESIDENTIAL BUILDING
6860,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
6861,BROOKLYN,Blocked Driveway,Street/Sidewalk
6862,BROOKLYN,Sanitation Condition,Street
6863,Flushing,Derelict Vehicles,Street
6864,NEW YORK,Noise - Vehicle,Street/Sidewalk
6865,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
6866,RIDGEWOOD,Blocked Driveway,Street/Sidewalk
6867,FAR ROCKAWAY,Animal Abuse,Residential Building
6869,STATEN ISLAND,Missed Collection (All Materials),Sidewalk
6870,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
6871,Flushing,Missed Collection (All Materials),Sidewalk
6872,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
6873,NEW YORK,Dirty Conditions,Sidewalk
6874,BROOKLYN,Blocked Driveway,Street/Sidewalk
6876,Far Rockaway,Missed Collection (All Materials),Sidewalk
6877,NEW YORK,SCRIE,Senior Address
6878,BROOKLYN,Blocked Driveway,Street/Sidewalk
6879,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
6881,Far Rockaway,Missed Collection (All Materials),Sidewalk
6882,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
6883,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
6884,NEW YORK,Broken Muni Meter,Street
6885,ELMHURST,Blocked Driveway,Street/Sidewalk
6886,BROOKLYN,Rodent,1-2 Family Dwelling
6888,HOWARD BEACH,Noise - Commercial,Store/Commercial
6889,BROOKLYN,Dirty Conditions,Lot
6890,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
6891,FRESH MEADOWS,Root/Sewer/Sidewalk Condition,Street
6892,South Richmond Hill,Missed Collection (All Materials),Sidewalk
6893,STATEN ISLAND,Dirty Conditions,Sidewalk
6894,Flushing,Missed Collection (All Materials),Sidewalk
6895,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
6896,BRONX,Highway Condition,Highway
6897,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
6898,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
6903,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
6904,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
6905,BRONX,Illegal Parking,Street/Sidewalk
6906,Far Rockaway,Missed Collection (All Materials),Sidewalk
6908,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
6909,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
6910,WOODSIDE,Blocked Driveway,Street/Sidewalk
6911,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
6913,BRONX,Rodent,3+ Family Apt. Building
6916,NEW YORK,Blocked Driveway,Street/Sidewalk
6917,NEW YORK,Derelict Vehicle,Street/Sidewalk
6918,FAR ROCKAWAY,Illegal Parking,Street/Sidewalk
6919,Little Neck,Dirty Conditions,Sidewalk
6921,BROOKLYN,GENERAL,RESIDENTIAL BUILDING
6922,BROOKLYN,ELECTRIC,RESIDENTIAL BUILDING
6923,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
6924,BROOKLYN,UNSANITARY CONDITION,RESIDENTIAL BUILDING
6925,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
6926,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
6927,BROOKLYN,Blocked Driveway,Street/Sidewalk
6928,Flushing,Missed Collection (All Materials),Sidewalk
6931,Fresh Meadows,Dirty Conditions,Street
6932,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
6933,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
6934,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
6935,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
6936,SAINT ALBANS,Illegal Parking,Street/Sidewalk
6938,BELLEROSE,Animal in a Park,Park
6939,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
6940,BRONX,Blocked Driveway,Street/Sidewalk
6941,BROOKLYN,Blocked Driveway,Street/Sidewalk
6942,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
6944,LONG ISLAND CITY,Noise - Vehicle,Street/Sidewalk
6946,Rosedale,HEAT/HOT WATER,RESIDENTIAL BUILDING
6947,NEW YORK,For Hire Vehicle Complaint,Street
6948,NEW YORK,Street Sign - Damaged,Street
6949,STATEN ISLAND,Sanitation Condition,Street
6951,STATEN ISLAND,Food Establishment,Other (Explain Below)
6952,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
6953,BROOKLYN,Blocked Driveway,Street/Sidewalk
6954,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
6955,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
6956,NEW YORK,Animal Abuse,Residential Building/House
6959,OZONE PARK,Blocked Driveway,Street/Sidewalk
6960,OZONE PARK,Blocked Driveway,Street/Sidewalk
6961,BROOKLYN,Illegal Parking,Street/Sidewalk
6962,BRONX,Illegal Parking,Street/Sidewalk
6963,CORONA,Blocked Driveway,Street/Sidewalk
6964,BRONX,WATER LEAK,RESIDENTIAL BUILDING
6965,BRONX,WATER LEAK,RESIDENTIAL BUILDING
6966,BRONX,WATER LEAK,RESIDENTIAL BUILDING
6967,BROOKLYN,Noise - Park,Park/Playground
6968,Whitestone,UNSANITARY CONDITION,RESIDENTIAL BUILDING
6971,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
6972,BRONX,Blocked Driveway,Street/Sidewalk
6974,BRONX,Blocked Driveway,Street/Sidewalk
6975,NEW YORK,Homeless Encampment,Store/Commercial
6976,STATEN ISLAND,Dead Tree,Street
6977,EAST ELMHURST,Blocked Driveway,Street/Sidewalk
6978,FLUSHING,Illegal Tree Damage,Street
6979,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
6980,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
6981,Flushing,HEAT/HOT WATER,RESIDENTIAL BUILDING
6982,Springfield Gardens,Sanitation Condition,Sidewalk
6983,BROOKLYN,Blocked Driveway,Street/Sidewalk
6984,BROOKLYN,Blocked Driveway,Street/Sidewalk
6986,BRONX,Illegal Parking,Street/Sidewalk
6987,CORONA,Blocked Driveway,Street/Sidewalk
6988,QUEENS VILLAGE,Blocked Driveway,Street/Sidewalk
6991,EAST ELMHURST,Blocked Driveway,Street/Sidewalk
6992,BRONX,Derelict Vehicles,Street
6993,BRONX,UNSANITARY CONDITION,RESIDENTIAL BUILDING
6994,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
6995,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
6996,BROOKLYN,Blocked Driveway,Street/Sidewalk
6997,JAMAICA,Derelict Vehicle,Street/Sidewalk
6998,FLUSHING,Derelict Vehicle,Street/Sidewalk
6999,College Point,Derelict Vehicles,Street
7000,BRONX,Rodent,1-2 Family Dwelling
7002,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7004,BROOKLYN,Blocked Driveway,Street/Sidewalk
7005,BRONX,Illegal Parking,Street/Sidewalk
7007,NEW YORK,Noise - Commercial,Store/Commercial
7009,BRONX,Derelict Vehicles,Street
7010,WOODSIDE,Illegal Parking,Street/Sidewalk
7011,RIDGEWOOD,Blocked Driveway,Street/Sidewalk
7012,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
7013,BROOKLYN,Noise - Vehicle,Street/Sidewalk
7014,BROOKLYN,Street Sign - Missing,Street
7015,EAST ELMHURST,Illegal Parking,Street/Sidewalk
7016,BRONX,Animal Abuse,Residential Building/House
7030,BROOKLYN,Blocked Driveway,Street/Sidewalk
7031,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7033,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7034,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7035,SOUTH OZONE PARK,Blocked Driveway,Street/Sidewalk
7037,BROOKLYN,Noise - Commercial,Store/Commercial
7038,BROOKLYN,ELECTRIC,RESIDENTIAL BUILDING
7039,BROOKLYN,ELECTRIC,RESIDENTIAL BUILDING
7040,BELLEROSE,Blocked Driveway,Street/Sidewalk
7041,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7043,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7044,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7045,BROOKLYN,Noise - Vehicle,Street/Sidewalk
7046,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7047,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
7048,REGO PARK,Illegal Parking,Street/Sidewalk
7049,BROOKLYN,PAINT/PLASTER,RESIDENTIAL BUILDING
7050,BROOKLYN,UNSANITARY CONDITION,RESIDENTIAL BUILDING
7051,OAKLAND GARDENS,Illegal Parking,Street/Sidewalk
7054,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7055,BRONX,Rodent,Other (Explain Below)
7058,BRONX,Rodent,Other (Explain Below)
7060,BRONX,Smoking,Residential Building
7061,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7062,BROOKLYN,Noise - Vehicle,Street/Sidewalk
7063,NEW YORK,Illegal Parking,Street/Sidewalk
7065,BROOKLYN,Rodent,3+ Family Apt. Building
7066,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
7067,ELMHURST,Blocked Driveway,Street/Sidewalk
7069,BROOKLYN,Noise - Vehicle,Street/Sidewalk
7070,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
7071,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
7072,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7073,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
7076,NEW YORK,Noise - Commercial,Store/Commercial
7077,STATEN ISLAND,Illegal Animal Kept as Pet,Residence
7078,FAR ROCKAWAY,Illegal Parking,Street/Sidewalk
7079,SPRINGFIELD GARDENS,Blocked Driveway,Street/Sidewalk
7080,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
7081,BROOKLYN,Noise - Commercial,Store/Commercial
7083,LONG ISLAND CITY,Illegal Parking,Street/Sidewalk
7084,STATEN ISLAND,Noise - Street/Sidewalk,Street/Sidewalk
7085,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
7086,MIDDLE VILLAGE,Illegal Parking,Street/Sidewalk
7087,BROOKLYN,Street Condition,Street
7088,STATEN ISLAND,Illegal Animal Kept as Pet,Residence
7089,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7090,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
7091,BRONX,Noise - Commercial,Store/Commercial
7092,BROOKLYN,Illegal Parking,Street/Sidewalk
7093,BRONX,Noise - Street/Sidewalk,Street/Sidewalk
7094,BRONX,Illegal Parking,Street/Sidewalk
7095,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
7096,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
7097,STATEN ISLAND,Noise - Street/Sidewalk,Street/Sidewalk
7098,BROOKLYN,Noise - House of Worship,House of Worship
7099,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
7100,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7101,BRONX,Noise - Vehicle,Street/Sidewalk
7102,BRONX,Illegal Parking,Street/Sidewalk
7103,FOREST HILLS,Illegal Parking,Street/Sidewalk
7104,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7105,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
7106,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
7107,CORONA,Blocked Driveway,Street/Sidewalk
7108,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7109,BRONX,PAINT/PLASTER,RESIDENTIAL BUILDING
7110,BRONX,PLUMBING,RESIDENTIAL BUILDING
7111,BRONX,Noise - Street/Sidewalk,Street/Sidewalk
7112,CORONA,Blocked Driveway,Street/Sidewalk
7113,BRONX,Blocked Driveway,Street/Sidewalk
7114,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7115,HOWARD BEACH,Blocked Driveway,Street/Sidewalk
7116,BROOKLYN,Illegal Parking,Street/Sidewalk
7117,NEW YORK,Noise - Commercial,Store/Commercial
7118,RIDGEWOOD,Noise - Commercial,Club/Bar/Restaurant
7120,JACKSON HEIGHTS,Noise - Commercial,Club/Bar/Restaurant
7121,RICHMOND HILL,Blocked Driveway,Street/Sidewalk
7122,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
7123,BRONX,Noise - Commercial,Club/Bar/Restaurant
7124,BROOKLYN,Illegal Parking,Street/Sidewalk
7126,NEW YORK,Noise - Commercial,Store/Commercial
7127,BAYSIDE,Food Establishment,Restaurant/Bar/Deli/Bakery
7128,BRONX,Damaged Tree,Street
7129,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7130,BRONX,Blocked Driveway,Street/Sidewalk
7131,BROOKLYN,Blocked Driveway,Street/Sidewalk
7132,JACKSON HEIGHTS,Noise - Vehicle,Street/Sidewalk
7134,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
7136,NEW YORK,Noise - Commercial,Store/Commercial
7137,WOODSIDE,Derelict Vehicle,Street/Sidewalk
7138,FLUSHING,Noise - Vehicle,Street/Sidewalk
7139,JAMAICA,Noise - Commercial,Club/Bar/Restaurant
7140,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
7141,BRONX,PLUMBING,RESIDENTIAL BUILDING
7142,BRONX,PLUMBING,RESIDENTIAL BUILDING
7143,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
7144,RICHMOND HILL,Noise - Commercial,Store/Commercial
7145,Woodhaven,HEAT/HOT WATER,RESIDENTIAL BUILDING
7146,BROOKLYN,UNSANITARY CONDITION,RESIDENTIAL BUILDING
7147,BROOKLYN,Noise - Vehicle,Street/Sidewalk
7148,ROSEDALE,Blocked Driveway,Street/Sidewalk
7149,BRONX,Noise - Commercial,Club/Bar/Restaurant
7150,BRONX,PAINT/PLASTER,RESIDENTIAL BUILDING
7151,BRONX,PLUMBING,RESIDENTIAL BUILDING
7152,BRONX,PAINT/PLASTER,RESIDENTIAL BUILDING
7153,SUNNYSIDE,Blocked Driveway,Street/Sidewalk
7154,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7155,ASTORIA,Noise - Commercial,Club/Bar/Restaurant
7156,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
7157,ELMHURST,Noise - Commercial,Store/Commercial
7158,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
7159,BROOKLYN,Noise - Commercial,Store/Commercial
7160,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7161,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7162,JAMAICA,Noise - Commercial,Club/Bar/Restaurant
7163,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7164,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7165,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
7166,SPRINGFIELD GARDENS,Blocked Driveway,Street/Sidewalk
7167,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7168,BROOKLYN,Noise - Park,Park/Playground
7169,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
7170,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7171,NEW YORK,Noise - Vehicle,Street/Sidewalk
7172,SOUTH OZONE PARK,Illegal Parking,Street/Sidewalk
7173,BRONX,Noise - Street/Sidewalk,Street/Sidewalk
7174,NEW YORK,Rodent,Construction Site
7175,BRONX,Noise - Street/Sidewalk,Street/Sidewalk
7176,NEW YORK,Rodent,Commercial Building
7177,NEW YORK,Rodent,Construction Site
7178,BROOKLYN,ELECTRIC,RESIDENTIAL BUILDING
7179,NEW YORK,Rodent,Construction Site
7180,BROOKLYN,Blocked Driveway,Street/Sidewalk
7181,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
7182,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7183,BRONX,Blocked Driveway,Street/Sidewalk
7185,CORONA,Blocked Driveway,Street/Sidewalk
7187,FLUSHING,Blocked Driveway,Street/Sidewalk
7188,JAMAICA,Noise - Commercial,Store/Commercial
7189,CORONA,Illegal Parking,Street/Sidewalk
7190,BRONX,Noise - Street/Sidewalk,Street/Sidewalk
7191,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
7192,NEW YORK,Illegal Parking,Street/Sidewalk
7193,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
7194,NEW YORK,Noise - Vehicle,Street/Sidewalk
7196,BRONX,Noise - Street/Sidewalk,Street/Sidewalk
7197,BRONX,Noise - Street/Sidewalk,Street/Sidewalk
7198,JACKSON HEIGHTS,Noise - Commercial,Club/Bar/Restaurant
7199,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
7200,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7202,BRONX,Rodent,3+ Family Apt. Building
7203,BRONX,Noise - Street/Sidewalk,Street/Sidewalk
7208,BROOKLYN,Blocked Driveway,Street/Sidewalk
7210,STATEN ISLAND,Illegal Parking,Street/Sidewalk
7211,BROOKLYN,Derelict Vehicle,Street/Sidewalk
7212,BRONX,Noise - Commercial,Club/Bar/Restaurant
7213,FLUSHING,Noise - Vehicle,Street/Sidewalk
7215,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7216,BROOKLYN,Noise - Vehicle,Street/Sidewalk
7217,RICHMOND HILL,Noise - Commercial,Club/Bar/Restaurant
7218,NEW YORK,GENERAL,RESIDENTIAL BUILDING
7219,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
7221,BROOKLYN,Rodent,Other (Explain Below)
7222,BROOKLYN,Illegal Parking,Street/Sidewalk
7224,STATEN ISLAND,Noise - Street/Sidewalk,Street/Sidewalk
7226,BRONX,Blocked Driveway,Street/Sidewalk
7227,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
7228,BROOKLYN,Illegal Parking,Street/Sidewalk
7229,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
7230,ASTORIA,Noise - Commercial,Club/Bar/Restaurant
7231,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
7232,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7233,BROOKLYN,Taxi Complaint,Street
7234,BRONX,Noise - Commercial,Club/Bar/Restaurant
7235,NEW YORK,Rodent,3+ Family Apt. Building
7236,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7237,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
7238,NEW YORK,Food Establishment,Restaurant/Bar/Deli/Bakery
7239,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
7240,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7241,BRONX,Blocked Driveway,Street/Sidewalk
7242,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
7243,RICHMOND HILL,Noise - Commercial,Club/Bar/Restaurant
7244,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7245,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
7246,BRONX,Illegal Parking,Street/Sidewalk
7247,FOREST HILLS,Noise - Commercial,Store/Commercial
7248,SOUTH RICHMOND HILL,Noise - Commercial,Club/Bar/Restaurant
7249,LONG ISLAND CITY,Derelict Vehicle,Street/Sidewalk
7250,FLUSHING,Illegal Parking,Street/Sidewalk
7251,STATEN ISLAND,Illegal Parking,Street/Sidewalk
7252,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
7254,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
7255,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7256,BROOKLYN,Blocked Driveway,Street/Sidewalk
7257,MASPETH,Noise - Street/Sidewalk,Street/Sidewalk
7259,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
7260,NEW YORK,Drinking,Club/Bar/Restaurant
7261,SAINT ALBANS,Blocked Driveway,Street/Sidewalk
7262,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
7263,BRONX,Dirty Conditions,Sidewalk
7264,ROCKAWAY PARK,Noise - Street/Sidewalk,Street/Sidewalk
7265,EAST ELMHURST,Illegal Parking,Street/Sidewalk
7267,MASPETH,Noise - Street/Sidewalk,Street/Sidewalk
7268,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7269,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
7270,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7271,RICHMOND HILL,Blocked Driveway,Street/Sidewalk
7272,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
7273,NEW YORK,Noise - Vehicle,Street/Sidewalk
7277,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7278,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7279,NEW YORK,Food Poisoning,Restaurant/Bar/Deli/Bakery
7281,Woodhaven,HEAT/HOT WATER,RESIDENTIAL BUILDING
7282,WOODHAVEN,Blocked Driveway,Street/Sidewalk
7283,BROOKLYN,Noise - Commercial,Store/Commercial
7284,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
7285,RICHMOND HILL,Noise - Commercial,Store/Commercial
7286,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7287,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7288,CORONA,Blocked Driveway,Street/Sidewalk
7289,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
7291,NEW YORK,Noise - Commercial,Store/Commercial
7293,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
7294,ASTORIA,Noise - Commercial,Club/Bar/Restaurant
7296,BROOKLYN,Illegal Parking,Street/Sidewalk
7297,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
7298,BRONX,Blocked Driveway,Street/Sidewalk
7299,NEW YORK,Noise - Commercial,Store/Commercial
7303,CAMBRIA HEIGHTS,Noise - Vehicle,Street/Sidewalk
7305,JAMAICA,Noise - Commercial,Club/Bar/Restaurant
7306,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
7307,BROOKLYN,Noise - Vehicle,Street/Sidewalk
7308,BROOKLYN,Blocked Driveway,Street/Sidewalk
7309,BROOKLYN,Blocked Driveway,Street/Sidewalk
7310,BROOKLYN,Noise - Vehicle,Street/Sidewalk
7311,Jamaica,GENERAL,RESIDENTIAL BUILDING
7312,NEW YORK,Illegal Parking,Street/Sidewalk
7313,NEW YORK,PLUMBING,RESIDENTIAL BUILDING
7314,BRONX,Blocked Driveway,Street/Sidewalk
7315,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7316,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
7317,FLUSHING,Blocked Driveway,Street/Sidewalk
7318,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
7319,BROOKLYN,Noise - Vehicle,Street/Sidewalk
7320,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
