,city,complaint_type,location_type
42576,BRONX,Derelict Vehicles,Street
42577,BROOKLYN,Blocked Driveway,Street/Sidewalk
42578,BRONX,Derelict Vehicles,Street
42579,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42581,NEW YORK,UNSANITARY CONDITION,RESIDENTIAL BUILDING
42582,NEW YORK,UNSANITARY CONDITION,RESIDENTIAL BUILDING
42583,Rockaway Park,HEAT/HOT WATER,RESIDENTIAL BUILDING
42584,STATEN ISLAND,Overgrown Tree/Branches,Street
42585,Astoria,Derelict Vehicles,Street
42586,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
42587,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
42589,Rosedale,HEAT/HOT WATER,RESIDENTIAL BUILDING
42590,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
42591,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
42592,Woodside,HEAT/HOT WATER,RESIDENTIAL BUILDING
42593,Sunnyside,HEAT/HOT WATER,RESIDENTIAL BUILDING
42594,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
42595,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
42596,ELMHURST,Illegal Parking,Street/Sidewalk
42597,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
42598,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42599,South Ozone Park,HEAT/HOT WATER,RESIDENTIAL BUILDING
42600,BRONX,Illegal Parking,Street/Sidewalk
42601,BRONX,Illegal Parking,Street/Sidewalk
42602,BROOKLYN,Noise - Commercial,Store/Commercial
42603,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42604,JACKSON HEIGHTS,Noise - Commercial,Store/Commercial
42605,NEW YORK,Noise - Vehicle,Street/Sidewalk
42606,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
42607,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42608,NEW YORK,Noise - Vehicle,Street/Sidewalk
42609,Long Island City,HEAT/HOT WATER,RESIDENTIAL BUILDING
42610,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
42611,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
42612,STATEN ISLAND,Posting Advertisement,Street/Sidewalk
42613,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42614,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
42615,BROOKLYN,Illegal Parking,Street/Sidewalk
42616,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
42617,BRONX,APPLIANCE,RESIDENTIAL BUILDING
42618,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42619,STATEN ISLAND,Posting Advertisement,Street/Sidewalk
42620,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42621,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42622,STATEN ISLAND,Posting Advertisement,Street/Sidewalk
42623,STATEN ISLAND,Posting Advertisement,Street/Sidewalk
42624,NEW YORK,DPR Internal,Park
42625,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42626,STATEN ISLAND,Posting Advertisement,Street/Sidewalk
42627,STATEN ISLAND,Posting Advertisement,Street/Sidewalk
42628,BRONX,Blocked Driveway,Street/Sidewalk
42629,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42630,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42640,BROOKLYN,Illegal Parking,Street/Sidewalk
42641,SOUTH RICHMOND HILL,Blocked Driveway,Street/Sidewalk
42642,Jamaica,HEAT/HOT WATER,RESIDENTIAL BUILDING
42643,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
42644,JACKSON HEIGHTS,Noise - Commercial,Store/Commercial
42646,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
42648,BROOKLYN,Blocked Driveway,Street/Sidewalk
42649,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
42650,NEW YORK,PLUMBING,RESIDENTIAL BUILDING
42651,NEW YORK,PLUMBING,RESIDENTIAL BUILDING
42652,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42653,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
42654,NEW YORK,Street Condition,Street
42655,NEW YORK,PLUMBING,RESIDENTIAL BUILDING
42656,SPRINGFIELD GARDENS,Illegal Parking,Street/Sidewalk
42657,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
42658,RIDGEWOOD,Noise - Street/Sidewalk,Street/Sidewalk
42659,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42660,BROOKLYN,Blocked Driveway,Street/Sidewalk
42661,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
42662,Maspeth,HEAT/HOT WATER,RESIDENTIAL BUILDING
42663,Astoria,HEAT/HOT WATER,RESIDENTIAL BUILDING
42665,BROOKLYN,Noise - Commercial,Store/Commercial
42666,MIDDLE VILLAGE,Illegal Parking,Street/Sidewalk
42668,BROOKLYN,Illegal Parking,Street/Sidewalk
42669,MIDDLE VILLAGE,Illegal Parking,Street/Sidewalk
42670,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
42672,MIDDLE VILLAGE,Illegal Parking,Street/Sidewalk
42673,NEW YORK,Fire Safety Director - F58,Street Address
42674,MIDDLE VILLAGE,Illegal Parking,Street/Sidewalk
42675,RICHMOND HILL,Noise - Commercial,Store/Commercial
42676,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42677,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42678,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
42679,BRONX,Blocked Driveway,Street/Sidewalk
42680,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
42682,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42683,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42684,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
42685,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
42686,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
42687,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42688,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
42690,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
42691,ROCKAWAY PARK,Illegal Parking,Street/Sidewalk
42692,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
42693,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
42694,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42695,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
