,dbn,school_name,address,city,Number of SAT Test Takers,SAT Critical Reading Avg,SAT Math Avg,SAT Writing Avg,total cohort  - june,total math/ela apm - june,Regents Pass Rate - June,total cohort  - august,total math/ela apm - august,Regents Pass Rate - August,Graduation Ontrack Rate - 2013,Graduation Rate - 2013,College Career Rate - 2013,Student Satisfaction Rate - 2013,Graduation Ontrack Rate - 2012,Graduation Rate - 2012,College Career Rate - 2012,Student Satisfaction Rate - 2012,coordinates
204,11X514, Bronxwood Preparatory Academy,921 East 228Th Street,Bronx,48.0,377.0,372.0,363.0,66.0,2.0,3.0,66.0,2.0,3.0,74.0,57.0,24.0,7.1,70.0,50.0,28.0,6.5,"(40.8879098, -73.8524877)"
205,11X542,Pelham Preparatory Academy,925 Astor Avenue,Bronx,76.0,431.0,438.0,419.0,111.0,29.0,26.1,111.0,29.0,26.1,81.0,95.0,83.0,7.4,79.0,91.0,83.0,7.0,"(40.8603116, -73.8602433)"
206,11X544,High School for Contemporary Arts,800 East Gun Hill Road,Bronx,55.0,383.0,378.0,365.0,118.0,6.0,5.1,118.0,6.0,5.1,83.0,71.0,57.0,6.6,80.0,72.0,49.0,6.4,"(40.8751075, -73.86165249999999)"
207,11X545,Bronx Aerospace High School,800 East Gun Hill Road,Bronx,46.0,388.0,393.0,382.0,70.0,6.0,8.6,70.0,6.0,8.6,66.0,74.0,58.0,6.1,76.0,75.0,56.0,5.9,"(40.8751075, -73.86165249999999)"
208,12X242,Mott Hall V,1551 East 172Nd Street,Bronx,,,,,,,,,,,79.0,,,7.9,68.0,,,7.1,"(40.8316935, -73.8774638)"
209,12X248,Metropolitan High School ,1180 Rev. J.A. Polite Ave.,Bronx,49.0,347.0,367.0,341.0,104.0,4.0,3.8,104.0,4.0,3.8,77.0,71.0,42.0,7.6,87.0,75.0,53.0,7.2,"(40.82771899999999, -73.8970008)"
210,12X251,Explorations Academy,1619 Boston Road,Bronx,57.0,381.0,381.0,360.0,69.0,0.0,0.0,69.0,0.0,0.0,78.0,55.0,41.0,7.5,68.0,63.0,42.0,6.9,"(40.8358091, -73.8911153)"
211,12X267,Bronx Latin,800 Home Street,Bronx,36.0,408.0,432.0,411.0,2.0,,,2.0,,,87.0,73.0,63.0,8.6,81.0,77.0,70.0,8.8,"(40.8271204, -73.9008891)"
212,12X271,East Bronx Academy for  Future,1716 Southern Boulevard,Bronx,46.0,366.0,378.0,358.0,74.0,1.0,1.4,74.0,1.0,1.4,77.0,70.0,46.0,7.5,72.0,75.0,42.0,6.9,"(40.8368876, -73.8876377)"
213,12X278,Peace and Diversity Academy,1180 Rev. J.A. Polite Ave.,Bronx,34.0,390.0,401.0,364.0,96.0,4.0,4.2,96.0,4.0,4.2,59.0,43.0,23.0,9.2,50.0,42.0,21.0,8.7,"(40.82771899999999, -73.8970008)"
214,12X372,Urban Assembly School for Wildlife Conservation,2024 Mohegan Avenue,Bronx,,,,,,,,,,,85.0,,,7.1,69.0,,,6.8,"(40.8439832, -73.88448509999999)"
215,12X388,Pan American International High School at Monroe,1300 Boynton Avenue,Bronx,30.0,321.0,351.0,298.0,,,,,,,91.0,68.0,31.0,8.7,94.0,58.0,,8.0,"(40.83212779999999, -73.87772149999999)"
216,12X478,THE CINEMA SCHOOL,1551 East 172Nd Street,Bronx,,,,,,,,,,,98.0,97.0,,7.9,99.0,,,7.8,"(40.8316935, -73.8774638)"
217,12X479,Bronx Career and College Preparatory High School,800 Home Street,Bronx,,,,,,,,,,,41.0,60.0,,7.4,63.0,,,6.5,"(40.8271204, -73.9008891)"
218,12X511,Bronx Envision Academy,1619 Boston Road,Bronx,,,,,,,,,,,91.0,,,7.3,80.0,,,6.6,"(40.8358091, -73.8911153)"
219,12X521, Metropolitan Soundview High School,1300 Boynton Avenue,Bronx,,,,,,,,,,,82.0,,,7.6,79.0,,,7.6,"(40.83212779999999, -73.87772149999999)"
220,12X550,High School of World Cultures,1300 Boynton Avenue,Bronx,42.0,304.0,323.0,312.0,52.0,4.0,7.7,52.0,4.0,7.7,70.0,47.0,29.0,8.0,76.0,58.0,43.0,7.1,"(40.83212779999999, -73.87772149999999)"
221,12X682,Fannie Lou Hamer Freedom High School,1021 Jennings Street,Bronx,72.0,342.0,346.0,341.0,,,,,,,74.0,66.0,44.0,7.4,72.0,59.0,31.0,6.8,"(40.8310478, -73.88560199999999)"
222,12X684,Wings Academy,1122 East 180 Street,Bronx,66.0,378.0,374.0,362.0,,,,,,,65.0,65.0,38.0,6.8,69.0,57.0,29.0,6.3,"(40.8416248, -73.8751818)"
223,12X692,Monroe Academy for Visual Arts & Design,1300 Boynton Avenue,Bronx,43.0,332.0,357.0,349.0,112.0,2.0,1.8,112.0,2.0,1.8,61.0,45.0,27.0,6.4,66.0,42.0,25.0,6.3,"(40.83212779999999, -73.87772149999999)"
224,13K265,Dr. Susan S. McKinney Secondary School of  Arts,101 Park Avenue,Brooklyn,29.0,352.0,349.0,373.0,81.0,5.0,6.2,81.0,5.0,6.2,83.0,63.0,44.0,7.2,75.0,80.0,51.0,6.7,"(40.6967378, -73.9760388)"
225,13K350,Urban Assembly High School of Music and Art,49 Flatbush Avenue Extension,Brooklyn,52.0,360.0,364.0,356.0,96.0,6.0,6.3,96.0,6.0,6.3,88.0,49.0,47.0,7.7,70.0,61.0,60.0,6.9,"(40.697313, -73.9846925)"
226,13K412,Brooklyn Community High School of Communication Arts and Media,300 Willoughby Avenue,Brooklyn,37.0,375.0,355.0,384.0,78.0,1.0,1.3,78.0,2.0,2.6,81.0,70.0,44.0,7.3,88.0,65.0,46.0,7.0,"(40.6924651, -73.9582495)"
227,13K419,Science Skills Center High School for Science Technology and  Creative Arts,49 Flatbush Avenue Extension,Brooklyn,92.0,399.0,417.0,395.0,231.0,23.0,10.0,231.0,25.0,10.8,87.0,69.0,51.0,5.5,84.0,74.0,57.0,6.0,"(40.697313, -73.9846925)"
228,13K430,Brooklyn Technical High School,29 Ft Greene Place,Brooklyn,1277.0,587.0,659.0,587.0,1097.0,967.0,88.1,1097.0,1001.0,91.2,99.0,98.0,83.0,7.1,97.0,96.0,95.0,6.7,"(40.6888729, -73.9764096)"
229,13K439,Brooklyn International High School,49 Flatbush Avenue Extension,Brooklyn,90.0,305.0,364.0,312.0,,,,,,,98.0,85.0,64.0,8.6,89.0,82.0,54.0,8.2,"(40.697313, -73.9846925)"
230,13K483, Urban Assembly School for Law and Justice,283 Adams Street,Brooklyn,105.0,400.0,417.0,389.0,109.0,29.0,26.6,109.0,29.0,26.6,87.0,89.0,82.0,7.3,84.0,91.0,83.0,7.0,"(38.6546161, -90.1675195)"
