School Name,Street Address,City,Coordinates
Health Opportunities High School,350 Gerard Avenue,Bronx,"(40.8156492, -73.93043220000001)"
Bronx Studio School for Writers and Artists,928 Simpson Street,Bronx,"(40.8203318, -73.8929654)"
Women's Academy of Excellence,456 White Plains Road,Bronx,"(40.8150398, -73.85609869999999)"
Renaissance High School for Musical ater & Technology,3000 East Tremont Avenue,Bronx,"(40.8401731, -73.8393567)"
Pablo Neruda Academy,1980 Lafayette Avenue,Bronx,"(40.8213444, -73.85567329999999)"
Millennium Art Academy,1980 Lafayette Avenue,Bronx,"(40.8213444, -73.85567329999999)"
Holcombe L. Rucker School of Community Research,965 Longwood Avenue,Bronx,"(40.8177403, -73.8979421)"
Archimedes Academy for Math Science and Technology Applications,456 White Plains Road,Bronx,"(40.8150398, -73.85609869999999)"
Antonia Pantoja Preparatory Academy: A College Board School,1980 Lafayette Avenue,Bronx,"(40.8213444, -73.85567329999999)"
Herbert H. Lehman High School.,3000 East Tremont Avenue,Bronx,"(40.8401731, -73.8393567)"
BRONX BRIDGES HIGH SCHOOL,1980 Lafayette Avenue,Bronx,"(40.8213444, -73.85567329999999)"
Bronx Guild,1980 Lafayette Avenue,Bronx,"(40.8213444, -73.85567329999999)"
Felisa Rincon de Gautier Institute for Law and Public Policy ,1440 Story Avenue,Bronx,"(40.8211129, -73.88058219999999)"
Banana Kelly High School,965 Longwood Avenue,Bronx,"(40.8177403, -73.8979421)"
Westchester Square Academy,3000 East Tremont Avenue,Bronx,"(40.8401731, -73.8393567)"
School for Tourism and Hospitality,900 Tinton Avenue,Bronx,"(40.82185070000001, -73.9028489)"
Bronx Compass High School,1980 Lafayette Avenue,Bronx,"(40.8213444, -73.85567329999999)"
Bronx Collegiate Academy,240 East 172 Street,Bronx,"(40.83965449999999, -73.911386)"
Eagle Academy for Young Men,4143 Third Avenue,Bronx,"(40.845324, -73.89739229999999)"
Urban Assembly School for Applied Math and Science ,1595 Bathgate Avenue,Bronx,"(40.8394571, -73.9018947)"
Eximius College Preparatory Academy: A College Board School,1363 Fulton Avenue,Bronx,"(40.8339721, -73.9027472)"
Mott Hall Bronx High School,1595 Bathgate Avenue,Bronx,"(40.8394571, -73.9018947)"
Bronx Center for Science and Mamatics,1363 Fulton Avenue,Bronx,"(40.8339721, -73.9027472)"
Validus Preparatory Academy: An Expeditionary Learning School,1595 Bathgate Avenue,Bronx,"(40.8394571, -73.9018947)"
Leadership Institute,1701 Fulton Avenue,Bronx,"(40.841139, -73.8982612)"
Morris Academy for Collaborative Studies,1110 Boston Road,Bronx,"(40.8273033, -73.9045097)"
Bronx Early College Academy for Teaching & Learning,250 East 164 Street,Bronx,"(40.8283139, -73.91756529999999)"
Comprehensive Model School Project M.S. 327,1501 Jerome Avenue,Bronx,"(40.8428109, -73.916384)"
DreamYard Preparatory School,240 East 172 Street,Bronx,"(40.83965449999999, -73.911386)"
Academy for Language and Technology,1700 Macombs Road,Bronx,"(40.8493122, -73.91565299999999)"
Bronx International High School,1110 Boston Road,Bronx,"(40.8273033, -73.9045097)"
School for Excellence,1110 Boston Road,Bronx,"(40.8273033, -73.9045097)"
Bronx High School of Business,240 East 172 Street,Bronx,"(40.83965449999999, -73.911386)"
Bronx High School for Medical Science,240 East 172 Street,Bronx,"(40.83965449999999, -73.911386)"
Bronx School for Law Government and Justice,244 East 163 Street,Bronx,"(40.827572, -73.9189269)"
Frederick Douglass Academy III Secondary School,3630 Third Avenue,Bronx,"(40.8338896, -73.9038894)"
Bronx Leadership Academy High School,1710 Webster Avenue,Bronx,"(40.8433729, -73.9030014)"
High School for Violin and Dance,1110 Boston Road,Bronx,"(40.8273033, -73.9045097)"
Claremont International HS,240 East 172 Street,Bronx,"(40.83965449999999, -73.911386)"
Riverdale / Kingsbridge Academy (Middle School / High School 141),660 West 237 Street,Bronx,"(40.8877008, -73.91360499999999)"
Bronx Engineering and Technology Academy,99 Terrace View Avenue,Bronx,"(40.8771416, -73.91268389999999)"
atre Arts Production Company School,2225 Webster Avenue,Bronx,"(40.8546548, -73.8970362)"
 Marie Curie School for Medicine Nursing and Health Professions,120 West 231 Street,Bronx,"(40.87545069999999, -73.90151639999999)"
West Bronx Academy for  Future,500 East Fordham Road,Bronx,"(40.85954230000001, -73.8885964)"
Kingsbridge International High School,2780 Reservoir Avenue,Bronx,"(40.8705477, -73.8972153)"
Bronx School of Law and Finance,99 Terrace View Avenue,Bronx,"(40.8771416, -73.91268389999999)"
International School for Liberal Arts,2780 Reservoir Avenue,Bronx,"(40.8705477, -73.8972153)"
In-Tech Academy (M.S. / High School 368),2975 Tibbett Avenue,Bronx,"(40.8795979, -73.9096174)"
Knowledge and Power Preparatory Academy International High School (Kappa),500 East Fordham Road,Bronx,"(40.85954230000001, -73.8885964)"
High School for Teaching and  Professions,2780 Reservoir Avenue,Bronx,"(40.8705477, -73.8972153)"
Belmont Preparatory High School,500 East Fordham Road,Bronx,"(40.85954230000001, -73.8885964)"
Fordham High School for  Arts,500 East Fordham Road,Bronx,"(40.85954230000001, -73.8885964)"
Fordham Leadership Academy for Business and Technology,500 East Fordham Road,Bronx,"(40.85954230000001, -73.8885964)"
Bronx High School for Law and Community Service,500 East Fordham Road,Bronx,"(40.85954230000001, -73.8885964)"
DeWitt Clinton High School,100 West Mosholu Parkway South,Bronx,"(40.8813441, -73.88728669999999)"
