UNITID_P,INSTNM,BRANCH,State,Sector_desc,men_total,women_total,Total,MURD10,NEG_M10,FORCIB10,NONFOR10,ROBBE10,AGG_A10,BURGLA10,VEHIC10,ARSON10,MURD11,NEG_M11,FORCIB11,NONFOR11,ROBBE11,AGG_A11,BURGLA11,VEHIC11,ARSON11,MURD12,NEG_M12,FORCIB12,NONFOR12,ROBBE12,AGG_A12,BURGLA12,VEHIC12,ARSON12,FILTER10,FILTER11,FILTER12
131876001,Trinity Washington University,Trinity,DC,"Private nonprofit, 4-year or above",232,2431,2663,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
131973001,Wesley Theological Seminary,Wesley Theological Seminary,DC,"Private nonprofit, 4-year or above",334,300,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132268001,Wyotech-Daytona,Main Campus,FL,"Private for-profit, 2-year",954,56,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
132338001,The Art Institute of Fort Lauderdale,The Art Institute of Fort Lauderdale,FL,"Private for-profit, 4-year or above",1062,1177,2239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132374001,Atlantic Technical Center,ATLANTIC TECHNICAL CENTER,FL,"Public, 2-year",490,385,875,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132408001,The Baptist College of Florida,Main Campus,FL,"Private nonprofit, 4-year or above",348,206,554,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132408002,The Baptist College of Florida,Orlando Site,FL,"Private nonprofit, 4-year or above",348,206,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132408004,The Baptist College of Florida,Jacksonville Site,FL,"Private nonprofit, 4-year or above",348,206,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132408005,The Baptist College of Florida,Pensacola Site,FL,"Private nonprofit, 4-year or above",348,206,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132471001,Barry University,Main Campus,FL,"Private nonprofit, 4-year or above",3079,5991,9070,0,0,0,0,1,0,7,0,0,0,0,0,0,1,0,11,1,0,0,0,1,0,1,0,12,1,0,1,1,1
132471002,Barry University,Barry University-Law School,FL,"Private nonprofit, 4-year or above",3079,5991,9070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132602001,Bethune-Cookman University,Main Campus,FL,"Private nonprofit, 4-year or above",1467,2076,3543,0,0,1,0,0,0,5,2,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,4,15,8,0,1,1,1
132657001,Lynn University,Main Campus,FL,"Private nonprofit, 4-year or above",1067,1030,2097,0,0,1,0,0,3,11,0,0,0,0,2,0,1,2,14,0,0,0,0,1,0,0,6,9,0,0,1,1,1
132666001,GUTI The Premier Beauty & Wellness Academy,Main Campus,FL,"Private for-profit, less-than 2-year",45,106,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132675001,Bradford-Union Area Career Technical Center,Bradford- Union Technical Center,FL,"Public, 2-year",84,78,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132693001,Brevard Community College,Brevard Community College-Cocoa Campus,FL,"Public, 2-year",7159,10043,17202,0,0,0,0,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
132693002,Brevard Community College,Brevard Community College-Melbourne Campus,FL,"Public, 2-year",7159,10043,17202,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132693003,Brevard Community College,Brevard Community College-Titusville Campus,FL,"Public, 2-year",7159,10043,17202,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132693004,Brevard Community College,Brevard Community College-Palm Bay Campus,FL,"Public, 2-year",7159,10043,17202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132709001,Broward College,Central Campus,FL,"Public, 4-year or above",17320,24989,42309,0,0,0,0,0,0,14,13,0,0,0,0,0,3,1,3,8,0,0,0,0,0,0,0,2,5,0,1,1,1
132709002,Broward College,North Campus,FL,"Public, 4-year or above",17320,24989,42309,0,0,0,0,0,0,7,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,2,2,0,0,1,1,1
132709003,Broward College,South Campus,FL,"Public, 4-year or above",17320,24989,42309,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,1,1,1
132709004,Broward College,Willis Holcombe Center,FL,"Public, 4-year or above",17320,24989,42309,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132709005,Broward College,Tigertail Campus,FL,"Public, 4-year or above",17320,24989,42309,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132709006,Broward College,Pines Center,FL,"Public, 4-year or above",17320,24989,42309,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132709007,Broward College,AutoNation Center for Excellence in Automotive and Technology/Marine Center of Excellence,FL,"Public, 4-year or above",17320,24989,42309,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132709008,Broward College,Weston Center,FL,"Public, 4-year or above",17320,24989,42309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132709009,Broward College,Miramar Town Center,FL,"Public, 4-year or above",17320,24989,42309,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
132806001,Fortis College-Winter Park,Fortis College,FL,"Private for-profit, 2-year",62,203,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132842001,Carlos Albizu University-Miami,"Carlos Albizu University, Miami Campus",FL,"Private nonprofit, 4-year or above",230,816,1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,1
132851001,College of Central Florida,Main Campus,FL,"Public, 4-year or above",3158,5291,8449,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
